Country,Continent,Latitude,Longitude,Count,Diversity,Established,Immigrant,TotalNumberSpeakers,TopLanguages,NumberCountries,TopPercentageSpeakers,TopTotalSpeakers,LanguageTree,LanguageTreeParent,TreeSize
Namibia,Africa,-22.95764,18.49041,33,0.79,27,6,2668940,,,,,,,
Nauru,Oceania,-0.522778,166.931503,9,0.499,3,6,13500,,,,,,,
Nepal,Asia,28.394857,84.124008,129,0.755,122,7,26612919,,,,,,,
Netherlands,Europe,52.132633,5.291266,50,0.464,15,35,21947700,,,,,,,
New Caledonia,Oceania,-20.904305,165.618042,40,0.75,38,2,143010,,,,,,,
New Zealand,Oceania,-40.900557,174.885971,65,0.339,4,61,4706160,,,,,,,
Nicaragua,North America,12.865416,-85.207229,11,0.044,11,0,6404490,,,,,,,
Niger,Africa,17.607789,8.081666,23,0.545,23,0,15810500,,,,,,,
Nigeria,Africa,9.081999,8.675277,524,0.866,517,7,163317444,,,,,,,
Niue,Oceania,-19.054445,-169.867233,3,0.244,2,1,1550,,,,,,,
Norfolk Island,Oceania,-29.040835,167.954712,2,0.325,2,0,2110,,,,,,,
North Korea,Asia,40.339852,127.510093,1,0,1,0,23300000,,,,,,,
Northern Mariana Islands,Oceania,17.33083,145.38469,7,0.719,4,3,42180,,,,,,,
Norway,Europe,60.472024,8.468946,47,0.184,11,36,5746480,,,,,,,
Oman,Asia,21.512583,55.923255,31,0.729,17,14,4236000,,,,,,,
Pakistan,Asia,30.375321,69.345116,85,0.759,74,11,201998220,,,,,,,
Palau,Oceania,7.51498,134.58252,6,0.501,4,2,20870,,,,,,,
Palestine,Asia,31.952162,35.233154,10,0.298,7,3,4258410,,,,,,,
Panama,North America,8.537981,-80.782127,18,0.259,14,4,4255840,,,,,,,
Papua New Guinea,Oceania,-6.314993,143.95555,840,0.988,840,0,4213381,,,,,,,
Paraguay,South America,-23.442503,-58.443832,27,0.218,23,4,6633188,,,,,,,
Peru,South America,-9.189967,-75.015152,94,0.33,93,1,30994201,,,,,,,
Philippines,Asia,12.879721,121.774017,191,0.849,183,8,70776614,,,,,,,
Pitcairn,Oceania,-24.703615,-127.439308,2,?,2,0,36,,,,,,,
Poland,Europe,51.919438,19.145136,27,0.05,22,5,37460007,,,,,,,
Portugal,Europe,39.399872,-8.224454,23,0.069,10,13,10259240,,,,,,,
Puerto Rico,North America,18.220833,-66.590149,12,0.092,4,8,3530200,,,,,,,
Qatar,Asia,25.354826,51.183884,18,0.842,3,15,2537980,,,,,,,
Romania,Europe,45.943161,24.96676,29,0.163,26,3,20492430,,,,,,,
Russia,Europe,61.52401,105.318756,159,0.262,115,44,138698335,,,,,,,
Rwanda,Africa,-1.940278,29.873888,5,0.09,3,2,11124180,,,,,,,
Réunion,Africa,-21.115141,55.536384,8,0.45,3,5,656200,,,,,,,
Saint Barthélemy,North America,17.9,-62.833,3,0.244,3,0,7850,,,,,,,
Saint Helena,North America,-24.143474,-10.030696,1,0,1,0,5900,,,,,,,
Saint Kitts and Nevis,North America,17.357822,-62.782998,3,0.039,3,0,52040,,,,,,,
Saint Lucia,North America,13.909444,-60.978893,4,0.02,3,1,159600,,,,,,,
Saint Martin,North America,46.941936,-56.27111,5,0.689,3,2,28500,,,,,,,
Saint Pierre and Miquelon,North America,12.984305,-61.287228,1,0,1,0,6000,,,,,,,
Saint Vincent and the Grenadines,North America,-13.759029,-172.104629,3,0.007,3,0,138500,,,,,,,
Samoa,Oceania,43.94236,12.457777,3,0.174,2,1,187000,,,,,,,
San Marino,Europe,0.18636,6.613081,2,0,2,0,25000,,,,,,,
Saudi Arabia,Asia,23.885942,45.079162,25,0.429,7,18,18763220,,,,,,,
Senegal,Africa,14.497401,-14.452362,46,0.778,38,8,13977980,,,,,,,
Serbia,Europe,44.016521,21.005859,24,0.449,17,7,8830600,,,,,,,
Seychelles,Africa,-4.679574,55.491977,3,0.116,3,0,85420,,,,,,,
Sierra Leone,Africa,8.460555,-11.779889,26,0.841,24,2,6977150,,,,,,,
Singapore,Asia,1.352083,103.819836,31,0.758,24,7,6105380,,,,,,,
Sint Maarten,North America,18.0425,-63.055,9,0.816,4,5,39880,,,,,,,
Slovakia,Europe,48.669026,19.699024,15,0.245,12,3,5524990,,,,,,,
Slovenia,Europe,46.151241,14.995463,15,0.165,11,4,2103960,,,,,,,
Solomon Islands,Oceania,-9.64571,160.156194,72,0.968,72,0,379966,,,,,,,
Somalia,Africa,5.152149,46.199616,14,0.35,13,1,9938659,,,,,,,
South Africa,Africa,-30.559482,22.937506,42,0.871,30,12,51004892,,,,,,,
South Korea,Asia,35.907757,127.766922,5,0.008,4,1,48586000,,,,,,,
S. Sudan,Africa,6.877,31.307,69,0.931,69,0,4504650,,,,,,,
Spain,Europe,40.463667,-3.74922,34,0.329,17,17,52439510,,,,,,,
Sri Lanka,Asia,7.873054,80.771797,12,0.383,7,5,19550320,,,,,,,
Sudan,Africa,12.862807,30.217636,76,0.294,75,1,35091200,,,,,,,
Suriname,South America,3.919305,-56.027783,27,0.708,21,6,562014,,,,,,,
Sweden,Europe,60.128161,18.643501,37,0.214,15,22,10325090,,,,,,,
Switzerland,Europe,46.818188,8.227512,33,0.697,13,20,8980230,,,,,,,
Syria,Asia,34.802075,38.996815,24,0.371,17,7,18708430,,,,,,,
São Tomé e Príncipe,Africa,0.1864,6.6131,8,0.744,5,3,204200,,,,,,,
Tajikistan,Asia,38.861034,71.276093,33,0.276,13,20,7580210,,,,,,,
Tanzania,Africa,-6.369028,34.888822,126,0.881,125,1,51108150,,,,,,,
Thailand,Asia,15.870032,100.992541,88,0.756,73,15,53357924,,,,,,,
Togo,Africa,8.619543,0.824782,46,0.905,44,2,4889380,,,,,,,
Tokelau,Oceania,-8.967363,-171.855881,5,0.679,2,3,2421,,,,,,,
Tonga,Oceania,-21.178986,-175.198242,4,0.034,3,1,105800,,,,,,,
Trinidad and Tobago,North America,10.691803,-61.222503,9,0.597,7,2,2628000,,,,,,,
Tunisia,Africa,33.886917,9.537499,15,0.129,7,8,11582100,,,,,,,
Turkey,Asia,38.963745,35.243322,54,0.303,39,15,90297204,,,,,,,
Turkmenistan,Asia,38.969719,59.556278,31,0.457,6,25,5300460,,,,,,,
Turks and Caicos Islands,North America,21.694025,-71.797928,4,0.165,2,2,29840,,,,,,,
Tuvalu,Oceania,-7.109535,177.64933,3,0.02,3,0,10100,,,,,,,
U.S. Virgin Islands,North America,18.335765,-64.896335,6,0.471,3,3,85850,,,,,,,
Uganda,Africa,1.373333,32.290275,45,0.93,43,2,33862350,,,,,,,
Ukraine,Europe,48.379433,31.16558,48,0.497,21,27,40599806,,,,,,,
United Arab Emirates,Asia,23.424076,53.847818,27,0.829,10,17,9266400,,,,,,,
United Kingdom,Europe,55.378051,-3.435973,85,0.154,13,72,61546750,,,,,,,
United States of America,North America,37.09024,-95.712891,335,0.344,219,116,326756719,,,,,,,
Uruguay,South America,-32.522779,-55.765835,14,0.107,5,9,3589050,,,,,,,
Uzbekistan,Asia,41.377491,64.585262,37,0.464,11,26,30929000,,,,,,,
Vanuatu,Oceania,-15.376706,166.959158,116,0.972,110,6,196298,,,,,,,
Vatican State,Europe,41.902916,12.453389,2,0,2,0,330,,,,,,,
Venezuela,South America,6.42375,-66.58973,48,0.044,42,6,31087151,,,,,,,
Vietnam,Asia,14.058324,108.277199,112,0.281,109,3,86884520,,,,,,,
Wallis and Futuna,Oceania,-13.768752,-177.156097,3,0.548,3,0,12960,,,,,,,
W. Sahara,Africa,24.215527,-12.885834,4,0.493,3,1,584000,,,,,,,
Yemen,Asia,15.552727,48.516388,17,0.669,11,6,26810300,,,,,,,
Zambia,Africa,-13.133897,27.849332,55,0.828,46,9,11364870,,,,,,,
Zimbabwe,Africa,-19.015438,29.154857,24,0.613,22,2,11926440,,,,,,,
